"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon E5-2618L v3","SR200 (R2)","8","2.3 GHz","2/3/4/5/6/7/11/11","8 × 256 KiB","20 MiB","75 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064401610301","$779"
"Xeon E5-2622 v3","SR1ZZ (R2)","8","2.4 GHz","2/3/4/5/6/7/10/10","8 × 256 KiB","20 MiB","85 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064401576904",""
"Xeon E5-2628 v3","SR201 (R2)","8","2.5 GHz","3/3/3/3/3/3/5/5","8 × 256 KiB","20 MiB","85 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401613200",""
"Xeon E5-2629 v3","SR1XY (M1)","8","2.4 GHz","","8 × 256 KiB","20 MiB","85 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR3-1866 4 × DDR4-1866","Sep 8, 2014","CM8064401547010",""
"Xeon E5-2630 v3","SR206 (R2)","8","2.4 GHz","2/2/2/2/2/2/8/8","8 × 256 KiB","20 MiB","85 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064401831000 BX80644E52630V3","$667"
"Xeon E5-2630L v3","SR209 (R2)","8","1.8 GHz","3/4/5/6/7/8/11/11","8 × 256 KiB","20 MiB","55 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064401832100","$612"
"Xeon E5-2640 v3","SR205 (R2)","8","2.6 GHz","2/2/3/4/5/6/8/8","8 × 256 KiB","20 MiB","90 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064401830901 BX80644E52640V3","$939"
"Xeon E5-2667 v3","SR203 (R2)","8","3.2 GHz","2/2/2/2/2/2/4/4","8 × 256 KiB","20 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401724301","$2057"
"Ten Core","","","","","","","","","","","","",""
"Xeon E5-2628L v3","SR1XZ (M1)","10","2 GHz","2/2/2/2/2/2/2/3/5/5","10 × 256 KiB","25 MiB","75 W","LGA 2011-3","2 × 8.0 GT/s QPI","4 × DDR4-1866","Sep 8, 2014","CM8064401547200","$1364"
"Xeon E5-2649 v3","SR1XX (M1)","10","2.3 GHz","","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR3-1866 4 × DDR4-2133","Sep 8, 2014","CM8064401546913",""
"Xeon E5-2650 v3","SR1YA (M1)","10","2.3 GHz","3/3/3/3/3/3/4/5/7/7","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401723701 BX80644E52650V3","$1166"
"Xeon E5-2652 v3","SR1XT (M1)","10","2.3 GHz","3/3/3/3/3/3/3/3/5/5","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401545112",""
"Xeon E5-2660 v3","SR1XR (M1)","10","2.6 GHz","3/3/3/3/3/3/4/5/7/7","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401446117 BX80644E52660V3","$1445"
"Xeon E5-2663 v3","SR1Y4 (M1)","10","2.8 GHz","3/3/3/3/3/3/4/5/7/7","10 × 256 KiB","25 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401612900",""
"Xeon E5-2666 v3","SR1Y7 (M1)","10","2.9 GHz","3/3/3/3/3/3/3/4/6/6","10 × 256 KiB","25 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Nov 13, 2014","CM8064401675902","OEM for Amazon"
"Xeon E5-2687W v3","SR1Y6 (M1)","10","3.1 GHz","1/1/1/1/1/1/1/2/4/4","10 × 256 KiB","25 MiB","160 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401613502 BX80644E52687V3","$2141"
"Twelve Core","","","","","","","","","","","","",""
"Xeon E5-2648L v3","SR1XW (M1)","12","1.8 GHz","3/3/3/3/3/3/3/3/4/5/7/7","12 × 256 KiB","30 MiB","75 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401546007","$1544"
"Xeon E5-2650L v3","SR1Y1 (M1)","12","1.8 GHz","3/3/3/3/3/3/3/3/4/5/7/7","12 × 256 KiB","30 MiB","65 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401575702","$1329"
"Xeon E5-2658 v3","SR1XV (M1)","12","2.2 GHz","3/3/3/3/3/3/3/3/4/5/7/7","12 × 256 KiB","30 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401545904","$1832"
"Xeon E5-2658A v3","SR27T","12","2.2 GHz","2.9 GHz","12 × 256 KiB","30 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Q1 2015","CM8064402331600","1832.00"
"Xeon E5-2669 v3","SR1XU (M1)","12","2.3 GHz","","12 × 256 KiB","30 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR3-1866 4 × DDR4-2133","Sep 8, 2014","CM8064401545710",""
"Xeon E5-2670 v3","SR1XS (M1)","12","2.3 GHz","3/3/3/3/3/3/3/4/5/6/8/8","12 × 256 KiB","30 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401544801 BX80644E52670V3","$1589"
"Xeon E5-2673 v3","SR1Y3","12","2.4 GHz","3/3/3/3/3/3/3/3/4/5/7/7","12 × 256 KiB","30 MiB","105 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401610200","OEM for Microsoft"
"Xeon E5-2676 v3","SR1Y5 (M1)","12","2.4 GHz","3/3/3/3/3/3/3/4/4/6/7/7","12 × 256 KiB","30 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","June, 2015","CM8064401613101","OEM for Amazon"
"Xeon E5-2678 v3","SR20Z (M1)","12","2.5 GHz","4/4/4/4/4/4/4/4/5/6/8/8","12 × 256 KiB","30 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","2015","CM8064401967500",""
"Xeon E5-2680 v3","SR1XP (M1)","12","2.5 GHz","4/4/4/4/4/4/4/4/5/6/8/8","12 × 256 KiB","30 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401439612 BX80644E52680V3","$1745"
"Xeon E5-2685 v3","SR1Y9 (M1)","12","2.6 GHz","2/2/2/2/2/2/2/3/4/5/7/7","12 × 256 KiB","30 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401684201","$2090"
"Xeon E5-2690 v3","SR1XN (M1)","12","2.6 GHz","5/5/5/5/5/5/5/5/6/7/9/9","12 × 256 KiB","30 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401439416 BX80644E52690V3","$2090"
"Xeon E5-2692 v3","","12","3 GHz","1/1/1/1/1/1/1/1/2/3/6/6","12 × 256 KiB","30 MiB","165 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","","OEM for Microsoft"
"Xeon E5-2693 v3","Unassigned","12","2.8 GHz","N/A","12 × 256 KiB","30 MiB","160 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Unreleased","","Unknown"
"Fourteen Core","","","","","","","","","","","","",""
"Xeon E5-2683 v3","SR1XH (C1)","14","2 GHz","5/5/5/5/5/5/5/5/5/6/7/8/10/10","14 × 256 KiB","35 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401609728","$1846"
"Xeon E5-2695 v3","SR1XG (C1)","14","2.3 GHz","5/5/5/5/5/5/5/5/5/6/7/8/10/10","14 × 256 KiB","35 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401438110 BX80644E52695V3","$2424"
"Xeon E5-2697 v3","SR1XF (C1)","14","2.6 GHz","5/5/5/5/5/5/5/5/5/6/7/8/10/10","14 × 256 KiB","35 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401807100 BX80644E52697V3","$2702"
"Sixteen Core","","","","","","","","","","","","",""
"Xeon E5-2675 v3","SR1XM (C1)","16","1.8 GHz","2/2/2/2/2/2/2/2/2/2/2/2/2/3/5/5","16 × 256 KiB","40 MiB","110 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401845300",""
"Xeon E5-2698 v3","SR1XE (C1)","16","2.3 GHz","5/5/5/5/5/5/5/5/6/7/8/9/10/11/13/13","16 × 256 KiB","40 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401609800","$3226"
"Xeon E5-2698A v3","","16","2.8 GHz","3.2 GHz","16 × 256 KiB","40 MiB","165 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Nov 18, 2014","","OEM for Lenovo"
"Xeon E5-2698B v3","SR21T","16","2 GHz","4/4/4/4/4/4/5/6/7/8/9/10/11/12/14/14","16 × 256 KiB","40 MiB","135 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Jan, 2015","CM8064401843802","OEM for Microsoft"
"Eighteen Core","","","","","","","","","","","","",""
"Xeon E5-2686 v3","","18","2 GHz","3/3/3/3/3/3/3/6/7/8/9/10/11/12/13/14/15/15","18 × 256 KiB","45 MiB","120 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR3-1866 4 × DDR4-2133","Sep 8, 2014","",""
"Xeon E5-2696 v3","SR1XK (M0)","18","2.3 GHz","5/5/5/5/5/5/5/5/6/7/8/9/10/11/12/13/15/15","18 × 256 KiB","45 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401610101",""
"Xeon E5-2699 v3","SR1XD (C1)","18","2.3 GHz","5/5/5/5/5/5/5/5/5/5/6/7/8/9/10/11/13/13","18 × 256 KiB","45 MiB","145 W","LGA 2011-3","2 × 9.6 GT/s QPI","4 × DDR4-2133","Sep 8, 2014","CM8064401739300","$4115"
