"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon D-1540","SR29A (V1)","8","2 GHz","2.6 GHz","8 × 256 KiB","12 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","March 2015","GG8067401635553","$581"
"Xeon D-1541","SR2DE (V2)","8","2.1 GHz","2.7 GHz","8 × 256 KiB","12 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","November 2015","GG8067402568700","$581"
"Xeon D-1543N","SR3KW (A1)","8","1.9 GHz","2.5 GHz","8 × 256 KiB","12 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","July 2017","GG8068203255107","$652"
"Xeon D-1548","SR2DJ (V2)","8","2 GHz","2.6 GHz","8 × 256 KiB","12 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","November 2015","GG8067402569300","$675"
"Xeon D-1553N","SR3KT (A1)","8","2.3 GHz","2.7 GHz","8 × 256 KiB","12 MiB","65 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","July 2017","GG8068203255104","$855"
"Twelve Core","","","","","","","","","","","","",""
"Xeon D-1557","SR2M4 (Y0)","12","1.5 GHz","2.1 GHz","12 × 256 KiB","18 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","March 2016","GG8067402570702","$844"
"Xeon D-1559","SR2M5 (Y0)","12","1.5 GHz","2.1 GHz","12 × 256 KiB","18 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","April 2016","GG8067402570801","$883"
"Xeon D-1567","SR2M3 (Y0)","12","2.1 GHz","2.7 GHz","12 × 256 KiB","18 MiB","65 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","March 2016","GG8067402570603","$1299"
"Sixteen Core","","","","","","","","","","","","",""
"Xeon D-1571","SR2M0 (Y0)","16","1.3 GHz","2.1 GHz","16 × 256 KiB","24 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","February 2016","GG8067402570310","$1222"
"Xeon D-1577","SR2M2 (Y0)","16","1.3 GHz","2.1 GHz","16 × 256 KiB","24 MiB","45 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","February 2016","GG8067402570503","$1477"
"Xeon D-1581","SR2LZ (Y0)","16","1.8 GHz","2.4 GHz","16 × 256 KiB","24 MiB","65 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","Q1 2016","GG8067402570204","$"
"Xeon D-1587","SR2M1 (Y0)","16","1.7 GHz","2.3 GHz","16 × 256 KiB","24 MiB","65 W","FC-BGA 1667","DMI 2.0","2 × DDR4-2133 2 × DDR3L-1600","February 2016","GG8067402570403","$1754"
