"Model number","sSpec number","Frequency","Turbo","Cores","L2 cache","L3 cache","I/O bus","Mult.","Memory","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Xeon X5667","SLBVA (B1)","3.07 GHz","2/2/3/3","4","4 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","23×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","March 16, 2010","AT80614005154AB","$1440"
"Xeon X5672","SLBYK (B1)","3.2 GHz","2/2/3/3","4","4 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","24×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","February 14, 2011","AT80614005922AA","$1440"
"Xeon X5677","SLBV9 (B1)","3.47 GHz","1/1/2/2","4","4 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","26×","3 × DDR3-1333","0.75–1.35 V","130 W","LGA 1366","March 16, 2010","AT80614005145AB","$1663"
"Xeon X5687","SLBVY (B1)","3.6 GHz","1/1/2/2","4","4 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","27×","3 × DDR3-1333","0.75–1.35 V","130 W","LGA 1366","February 14, 2011","AT80614005919AB","$1663"
"Quad Core, low power","","","","","","","","","","","","","","",""
"Xeon L5609","SLBVJ (B1)","1.87 GHz","N/A","4","4 × 256 KiB","12 MiB","2 × 4.8 GT/s QPI","14×","3 × DDR3-1066","0.75–1.35 V","40 W","LGA 1366","March 16, 2010","AT80614005940AA","$440"
"Xeon L5618","SLBX3 (B1)","1.87 GHz","1/1/2/3","4","4 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","14×","3 × DDR3-1066","0.75–1.35 V","40 W","LGA 1366","March 16, 2010","AT80614005079AB","$530"
"Xeon L5630","SLBVD (B1)","2.13 GHz","1/1/2/2","4","4 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","16×","3 × DDR3-1066","0.75–1.35 V","40 W","LGA 1366","March 16, 2010","AT80614005484AA","$551"
"Six Core","","","","","","","","","","","","","","",""
"Xeon E5645","SLBWZ (B1)","2.4 GHz","1/1/1/1/2/2","6","6 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","18×","3 × DDR3-1333","0.75–1.35 V","80 W","LGA 1366","March 16, 2010","AT80614003597AC","$551"
"Xeon E5649","SLBZ8 (B1)","2.53 GHz","1/1/1/1/2/2","6","6 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","19×","3 × DDR3-1333","0.75–1.35 V","80 W","LGA 1366","February 14, 2011","AT80614006783AB BX80614E5649","$774"
"Xeon X5650","SLBV3 (B1)","2.67 GHz","2/2/2/2/3/3","6","6 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","20×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","March 16, 2010","AT80614004320AD BX80614X5650","$996"
"Xeon X5660","SLBV6 (B1)","2.8 GHz","2/2/2/2/3/3","6","6 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","21×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","March 16, 2010","AT80614005127AA BX80614X5660","$1219"
"Xeon X5670","SLBV7 (B1)","2.93 GHz","2/2/2/2/3/3","6","6 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","22×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","March 16, 2010","AT80614005130AA BX80614X5670","$1440"
"Xeon X5675","SLBYL (B1)","3.07 GHz","2/2/2/2/3/3","6","6 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","23×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","February 14, 2011","AT80614006696AA BX80614X5675","$1440"
"Xeon X5679","SLC2E (B1)","3.2 GHz","1/1/1/1/2/2","6","6 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","24×","3 × DDR3-1066","0.75–1.35 V","115 W","LGA 1366","February 14, 2011","AT80614006924AA","OEM"
"Xeon X5680","SLBV5 (B1)","3.33 GHz","1/1/1/1/2/2","6","6 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","25×","3 × DDR3-1333","0.75–1.35 V","130 W","LGA 1366","March 16, 2010","AT80614005124AA BX80614X5680","$1663"
"Xeon X5690","SLBVX (B1)","3.47 GHz","1/1/1/1/2/2","6","6 × 256 KiB","12 MiB","2 × 6.4 GT/s QPI","26×","3 × DDR3-1333","0.75–1.35 V","130 W","LGA 1366","February 14, 2011","AT80614005913AB BX80614X5690","$1663"
"Six Core, low power","","","","","","","","","","","","","","",""
"Xeon L5638","SLBWY (B1)","2 GHz","1/1/2/2/3/3","6","6 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","15×","3 × DDR3-1333","0.75–1.35 V","60 W","LGA 1366","March 16, 2010","AT80614003591AB","$958"
"Xeon L5639","SLBZJ (B1)","2.13 GHz","2/2/3/3/4/4","6","6 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","16×","3 × DDR3-1333","0.75–1.35 V","60 W","LGA 1366","February 14, 2011","AT80614005076AB","OEM"
"Xeon L5640","SLBV8 (B1)","2.27 GHz","2/2/3/3/4/4","6","6 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","17×","3 × DDR3-1333","0.75–1.35 V","60 W","LGA 1366","March 16, 2010","AT80614005133AB BX80614L5640","$996"
"Xeon L5645","SLBVW (B1)","2.4 GHz","2/2/3/3/4/4","6","6 × 256 KiB","12 MiB","2 × 5.86 GT/s QPI","18×","3 × DDR3-1333","0.75–1.35 V","60 W","LGA 1366","February 14, 2011","AT80614005136AB","OEM"
